Evolution Environment	Clone	fitness in SC	replicate deviations SC	fitness in .8 M	replicate deviations .8 M	fitness in .4 M	replicate deviations .4 M	fitness in .2 M	replicate deviations .2 M	fitness in 21 C	replicate deviations 21 C	fitness in 34 C	replicate deviations 34 C	fitness in 37 C	replicate deviations 37 C	fitness in pH 3	replicate deviations pH 3	fitness in pH 3.8	replicate deviations pH 3.8	fitness in pH 6	replicate deviations pH 6	fitness in pH 7.3	replicate deviations pH 7.3	fitness in .07% glu	replicate deviations .07% glu	fitness in .4% glu	replicate deviations .4% glu	fitness in gal	replicate deviations gal	fitness in med eth	replicate deviations med eth	killer virus status	number of generations of evolution	Ploidy
Evolved in .8 M	clone6	-0.1282	-0.0012,-0.0189,0.0202	0.116	0.0125,-0.0041,-0.0084	0.0068	0.007,0.0099,-0.0169	-0.0535	-0.0003,0.007,-0.0067	-0.19	0.0402,0.0088,-0.049	NA	NA	-0.0078	0.0034,-0.0,-0.0033	-0.018	0.0012,-0.0021,0.0009	NA	NA	NA	NA	0.0082	-0.0029,0.0041,-0.0012	0.0372	0.0013,-0.002,0.0007	NA	NA	-0.1538	-0.0067,-0.0061,0.0128	NA	NA	Virus lost	612	Haploid
Evolved in .8 M	clone7	-0.1488	-0.0038,-0.0159,0.0197	0.1184	0.0142,-0.0105,-0.0037	0.0016	-0.0011,0.0062,-0.0051	-0.0868	-0.0006,0.004,-0.0034	-0.1685	0.0326,0.0307,-0.0633	NA	NA	-0.0166	0.0046,-0.001,-0.0036	-0.0232	0.0004,-0.0004,-0.0	NA	NA	NA	NA	-0.0395	0.0001,-0.0058,0.0057	-0.0041	-0.0033,0.0023,0.0009	NA	NA	-0.1673	0.0251,-0.0269,0.0018	NA	NA	Virus lost	612	Haploid
Evolved in .8 M	clone8	-0.0607	-0.0079,0.0087,-0.0007	0.1285	0.0475,-0.0258,-0.0217	0.0809	0.0014,0.0012,-0.0026	0.0013	0.0027,-0.0004,-0.0023	-0.1369	0.0542,-0.0047,-0.0495	NA	NA	-0.0407	-0.0026,-0.0037,0.0063	0.0093	0.0035,0.0028,-0.0063	NA	NA	NA	NA	-0.0528	-0.0077,0.0059,0.0018	-0.0546	0.0035,0.0026,-0.006	NA	NA	-0.0949	-0.0138,-0.0048,0.0186	NA	NA	Virus lost	612	Haploid
Evolved in .8 M	clone9	-0.0832	0.0021,-0.0243,0.0222	0.1476	0.0022,0.0048,-0.007	0.0392	-0.0024,0.0039,-0.0015	-0.0708	-0.002,-0.004,0.006	-0.0338	-0.0002,0.0399,-0.0397	NA	NA	0.0242	0.0028,0.0065,-0.0093	-0.0811	0.0183,-0.007,-0.0114	NA	NA	NA	NA	-0.012	0.0188,-0.0771,0.0583	-0.058	-0.0007,0.0139,-0.0132	NA	NA	-0.032	-0.0083,-0.0042,0.0124	NA	NA	Virus retained	612	Haploid
Evolved in .8 M	clone10	0.0083	0.0027,0.0006,-0.0033	0.1471	0.0131,-0.0016,-0.0115	0.0724	-0.0008,0.002,-0.0013	0.0388	-0.0001,0.0006,-0.0004	0.0054	0.0007,-0.0041,0.0033	NA	NA	0.0048	-0.0026,-0.0007,0.0033	0.0071	-0.0032,0.0029,0.0002	NA	NA	NA	NA	-0.0041	0.0043,-0.0004,-0.004	0.0049	-0.0002,0.0026,-0.0024	NA	NA	0.0105	-0.0003,0.0043,-0.004	NA	NA	Virus retained	612	Haploid
Evolved in .8 M	clone11	-0.1234	-0.0033,-0.0118,0.0151	0.1336	0.0268,-0.0013,-0.0255	0.0617	0.0011,0.0034,-0.0045	-0.0405	0.0058,0.003,-0.0089	-0.0794	-0.0444,0.0024,0.042	NA	NA	0.0155	-0.002,0.0018,0.0002	0.0122	-0.0031,-0.0006,0.0037	NA	NA	NA	NA	0.0067	-0.0046,0.0049,-0.0003	0.007	-0.0014,0.001,0.0004	NA	NA	-0.1291	-0.0021,0.0008,0.0013	NA	NA	Virus lost	612	Haploid
Evolved in .8 M	clone12	-0.0054	-0.003,-0.0027,0.0056	0.1145	0.0155,0.0073,-0.0229	0.074	0.0049,0.0043,-0.0091	0.0386	0.0028,0.0068,-0.0096	0.0175	-0.0035,0.0031,0.0004	NA	NA	0.0517	-0.0048,0.0015,0.0033	0.0027	-0.0046,0.0018,0.0028	NA	NA	NA	NA	0.0015	-0.0079,0.0006,0.0073	-0.0169	-0.0001,0.0019,-0.0019	NA	NA	0.0386	0.0022,-0.0046,0.0024	NA	NA	Virus retained	612	Diploid
Evolved in .8 M	clone13	-0.1333	-0.0034,-0.0149,0.0184	0.1584	0.0295,-0.0199,-0.0096	0.074	-0.0002,0.0039,-0.0037	-0.0251	-0.0032,0.0023,0.0009	-0.1771	0.0439,0.0265,-0.0704	NA	NA	-0.0335	0.0065,-0.004,-0.0025	0.0148	-0.0009,-0.0019,0.0028	NA	NA	NA	NA	-0.0052	0.0016,-0.0056,0.004	0.0544	-0.0042,0.0054,-0.0012	NA	NA	-0.1925	0.0074,-0.0092,0.0018	NA	NA	Virus lost	612	Diploid
Evolved in .8 M	clone14	-0.0091	-0.001,0.0003,0.0006	0.1375	0.0184,-0.0015,-0.0169	0.0774	0.0024,-0.0043,0.0019	0.0322	-0.0005,0.0012,-0.0007	-0.0042	0.003,-0.0017,-0.0014	NA	NA	-0.0036	-0.001,0.0007,0.0003	-0.0073	-0.0002,0.0014,-0.0012	NA	NA	NA	NA	-0.0219	-0.0026,-0.0004,0.003	-0.009	0.0026,0.0007,-0.0034	NA	NA	0.0013	-0.0022,0.0027,-0.0005	NA	NA	Virus retained	612	Haploid
Evolved in .8 M	clone15	-0.1463	-0.0071,-0.0144,0.0215	0.1096	0.0084,0.0013,-0.0096	-0.0517	-0.0035,0.0069,-0.0034	-0.1204	0.0013,0.0037,-0.0051	-0.1328	0.0522,-0.0286,-0.0236	NA	NA	-0.0751	0.0004,0.0084,-0.0088	0.0003	0.0009,0.0017,-0.0026	NA	NA	NA	NA	-0.0005	0.0059,-0.0128,0.0069	-0.0164	-0.0022,-0.0012,0.0033	NA	NA	-0.1604	0.0227,-0.0156,-0.0071	NA	NA	Virus lost	612	Haploid
Evolved in .8 M	clone16	-0.1771	-0.0063,-0.0145,0.0208	0.1159	0.0328,0.0009,-0.0337	-0.062	0.0114,0.0009,-0.0123	-0.1362	0.0107,0.0078,-0.0185	-0.1875	0.0172,-0.0666,0.0494	NA	NA	0.0606	0.0034,0.0005,-0.0039	0.0204	-0.0048,-0.0031,0.0079	NA	NA	NA	NA	-0.0226	0.0019,-0.0037,0.0018	0.0146	0.0009,0.0032,-0.0041	NA	NA	-0.1205	-0.001,-0.0054,0.0065	NA	NA	Virus lost	612	Diploid
Evolved in .8 M	clone17	-0.1519	-0.0113,-0.0049,0.0162	0.141	0.0323,-0.0027,-0.0296	0.0582	0.003,0.0061,-0.0091	-0.0584	-0.0036,0.0035,0.0002	-0.1447	0.0403,-0.0119,-0.0284	NA	NA	0.0013	-0.0026,0.0016,0.001	-0.0374	0.0014,0.0006,-0.002	NA	NA	NA	NA	-0.0081	-0.0064,0.0002,0.0062	-0.0281	-0.0008,0.003,-0.0022	NA	NA	-0.1916	0.0072,-0.0079,0.0007	NA	NA	Virus lost	612	Haploid
Evolved in .8 M	clone18	0.0048	0.0015,0.0005,-0.002	0.1327	0.033,-0.0117,-0.0213	0.0745	0.0017,0.0012,-0.0029	0.036	-0.0002,-0.0004,0.0006	0.008	0.0001,-0.0011,0.001	NA	NA	-0.0015	0.0025,-0.0025,-0.0001	0.0389	0.0011,0.0008,-0.0019	NA	NA	NA	NA	0.0071	-0.0024,-0.0033,0.0057	-0.0138	-0.0075,0.0064,0.0011	NA	NA	-0.0198	-0.0012,-0.0024,0.0036	NA	NA	Virus retained	612	Haploid
Evolved in .8 M	clone19	-0.1146	-0.0081,-0.0075,0.0157	0.1101	0.013,-0.0029,-0.01	0.0216	0.0013,0.0051,-0.0064	-0.0541	-0.0019,0.0074,-0.0055	-0.1007	-0.0034,-0.007,0.0104	NA	NA	0.0099	-0.0004,0.0029,-0.0024	0.0092	-0.0021,0.003,-0.0009	NA	NA	NA	NA	-0.0156	-0.0017,0.0069,-0.0052	-0.0026	0.0018,0.0015,-0.0033	NA	NA	-0.15	-0.0107,0.0039,0.0068	NA	NA	Virus lost	612	Haploid
Evolved in .8 M	clone20	-0.1219	-0.012,-0.0081,0.0201	0.1381	0.0209,-0.0102,-0.0107	0.0301	0.0017,0.0076,-0.0094	-0.066	-0.0034,0.0043,-0.0009	-0.1818	0.0236,-0.0664,0.0428	NA	NA	0.0135	-0.0007,0.0027,-0.002	0.0081	-0.0014,-0.0035,0.0049	NA	NA	NA	NA	0.0207	-0.003,0.0034,-0.0005	0.0109	0.0053,-0.0007,-0.0047	NA	NA	-0.1506	-0.0147,-0.0024,0.0171	NA	NA	Virus lost	612	Haploid
Evolved in .07% glu	clone1	0.0215	0.0035,-0.0007,-0.0029	-0.0475	0.0015,0.0026,-0.0041	NA	NA	NA	NA	0.0136	-0.0004,-0.0043,0.0046	NA	NA	-0.0189	-0.0102,0.0103,-0.0001	0.0509	0.0059,-0.0012,-0.0047	NA	NA	NA	NA	-0.039	-0.0045,-0.0029,0.0074	0.0572	-0.0003,-0.0037,0.004	0.0278	0.002,-0.0006,-0.0014	0.029	0.0025,-0.0024,-0.0	NA	NA	Virus retained	729	Haploid
Evolved in .07% glu	clone2	-0.0851	0.0104,0.0019,-0.0123	-0.0976	-0.0028,0.0104,-0.0076	NA	NA	NA	NA	-0.1611	0.05,-0.0229,-0.0271	NA	NA	0.0228	-0.0021,0.0023,-0.0002	0.0165	-0.0,0.0014,-0.0014	NA	NA	NA	NA	0.0282	-0.0047,0.007,-0.0023	0.015	0.0011,-0.0018,0.0007	-0.0278	0.0055,-0.0081,0.0027	-0.0992	-0.0045,-0.009,0.0135	NA	NA	Virus lost	729	Haploid
Evolved in .07% glu	clone3	0.0103	-0.0015,-0.0011,0.0027	-0.0529	-0.0024,0.0007,0.0017	NA	NA	NA	NA	0.0104	-0.0005,0.0008,-0.0004	NA	NA	-0.0202	-0.0088,0.0094,-0.0006	0.0173	0.0064,0.0086,-0.015	NA	NA	NA	NA	-0.0071	-0.0056,0.0032,0.0024	0.0316	-0.001,-0.0016,0.0026	0.0124	-0.0005,-0.0011,0.0016	0.0191	0.0027,-0.0031,0.0004	NA	NA	Virus retained	729	Haploid
Evolved in .07% glu	clone4	0.0082	-0.0004,0.0018,-0.0014	-0.0586	-0.0051,0.0044,0.0007	NA	NA	NA	NA	0.007	0.002,-0.0027,0.0007	NA	NA	-0.0209	-0.0054,0.0084,-0.003	0.0136	0.0019,0.0001,-0.0021	NA	NA	NA	NA	0.0078	0.0049,-0.0037,-0.0012	0.0308	-0.0017,-0.0002,0.0018	0.011	-0.0021,-0.0005,0.0025	0.0178	-0.0049,-0.0009,0.0059	NA	NA	Virus retained	729	Haploid
Evolved in .07% glu	clone5	0.0054	0.0028,0.0055,-0.0083	-0.042	-0.0037,0.0042,-0.0005	NA	NA	NA	NA	0.005	0.0013,-0.0005,-0.0008	NA	NA	-0.0162	-0.0044,0.0085,-0.004	0.003	0.0051,-0.0057,0.0006	NA	NA	NA	NA	-0.0259	0.004,-0.0047,0.0007	0.0248	-0.0016,-0.001,0.0026	0.0072	0.0015,0.002,-0.0035	0.0202	0.0006,0.0003,-0.0009	NA	NA	Virus retained	729	Haploid
Evolved in .07% glu	clone6	0.0176	-0.0008,0.0023,-0.0016	-0.0514	-0.0028,0.012,-0.0092	NA	NA	NA	NA	0.0111	-0.001,0.0002,0.0008	NA	NA	-0.0015	-0.0065,0.0073,-0.0008	0.0113	0.011,-0.0019,-0.0091	NA	NA	NA	NA	-0.0198	-0.0092,0.0017,0.0075	0.047	0.0002,-0.0016,0.0013	0.0262	0.0029,0.0009,-0.0038	0.0216	-0.0016,0.001,0.0005	NA	NA	Virus retained	729	Haploid
Evolved in .07% glu	clone7	0.0005	0.0011,-0.0035,0.0024	0.0157	0.0027,0.0009,-0.0036	NA	NA	NA	NA	-0.0128	-0.0045,-0.0013,0.0057	NA	NA	-0.0095	0.0006,0.0001,-0.0007	0.0063	0.0014,0.0008,-0.0022	NA	NA	NA	NA	-0.0217	-0.0022,0.0027,-0.0005	-0.0017	0.0019,-0.0007,-0.0011	0.0014	0.0022,-0.0017,-0.0005	0.0041	0.0,0.0013,-0.0013	NA	NA	Virus retained	729	Haploid
Evolved in .07% glu	clone8	0.0118	0.0069,0.0025,-0.0094	-0.0247	0.0066,-0.0012,-0.0054	NA	NA	NA	NA	0.0172	0.0028,-0.003,0.0002	NA	NA	-0.0432	-0.003,0.0056,-0.0026	0.0108	0.003,0.0013,-0.0043	NA	NA	NA	NA	-0.0316	0.0029,-0.0,-0.0029	0.0275	-0.0034,0.0025,0.0009	0.0056	0.0049,-0.0011,-0.0038	0.0348	0.0039,-0.0043,0.0004	NA	NA	Virus retained	729	Haploid
Evolved in .07% glu	clone9	-0.1486	-0.0125,0.0099,0.0026	-0.1265	-0.0122,-0.0032,0.0154	NA	NA	NA	NA	-0.113	0.0122,0.0272,-0.0394	NA	NA	-0.0342	-0.012,0.0103,0.0017	0.0166	0.0069,0.001,-0.0079	NA	NA	NA	NA	-0.03	-0.0014,-0.001,0.0024	0.0637	0.0004,0.0002,-0.0006	-0.0633	-0.0029,0.0054,-0.0026	-0.1589	0.0118,0.0094,-0.0211	NA	NA	Virus lost	729	Diploid
Evolved in .07% glu	clone10	0.0107	-0.0,0.0032,-0.0032	-0.0436	-0.0023,-0.0006,0.0029	NA	NA	NA	NA	0.0018	-0.0017,-0.0017,0.0034	NA	NA	-0.0417	-0.0118,0.013,-0.0012	-0.0091	0.0107,-0.0042,-0.0065	NA	NA	NA	NA	-0.0166	0.0002,-0.0016,0.0014	0.0387	0.0007,-0.0005,-0.0002	0.0113	0.0035,-0.0014,-0.0021	0.0305	0.0041,-0.0024,-0.0016	NA	NA	Virus retained	729	Haploid
Evolved in .07% glu	clone11	0.0037	0.0001,-0.0008,0.0007	-0.0122	0.0061,0.0018,-0.008	NA	NA	NA	NA	0.0005	-0.0028,-0.0027,0.0055	NA	NA	0.0101	-0.0039,0.0027,0.0012	-0.0008	0.0056,-0.0003,-0.0053	NA	NA	NA	NA	-0.0118	0.0011,-0.0032,0.0022	0.0011	-0.0042,0.0012,0.003	0.0054	0.0006,0.0018,-0.0023	0.0034	-0.0001,-0.001,0.0011	NA	NA	Virus retained	729	Haploid
Evolved in .07% glu	clone12	-0.0005	-0.0004,0.0001,0.0003	-0.017	-0.0029,0.0049,-0.002	NA	NA	NA	NA	0.0005	0.0024,-0.0022,-0.0002	NA	NA	0.0069	-0.0008,0.0018,-0.001	0.0132	-0.0002,0.0008,-0.0006	NA	NA	NA	NA	0.0066	0.0047,-0.0005,-0.0042	0.0187	-0.0004,0.0019,-0.0016	0.0022	-0.0004,-0.0042,0.0046	-0.0017	-0.001,-0.0008,0.0018	NA	NA	Virus retained	729	Haploid
Evolved in .07% glu	clone13	-0.009	-0.0017,-0.003,0.0047	-0.0424	-0.0089,0.0025,0.0064	NA	NA	NA	NA	-0.0337	-0.0007,0.0068,-0.0061	NA	NA	-0.0311	-0.0124,0.013,-0.0006	0.0161	0.0053,0.0011,-0.0064	NA	NA	NA	NA	-0.0202	-0.0002,0.0014,-0.0013	0.0434	-0.0073,0.0029,0.0044	0.0085	-0.0007,0.0014,-0.0007	0.0195	-0.0009,0.0032,-0.0024	NA	NA	Virus retained	729	Haploid
Evolved in .07% glu	clone14	-0.0775	0.0068,0.0023,-0.0091	-0.1567	0.0008,0.0014,-0.0022	NA	NA	NA	NA	-0.2316	0.0143,-0.0551,0.0408	NA	NA	0.0171	-0.0096,0.0092,0.0004	0.05	0.001,0.0008,-0.0018	NA	NA	NA	NA	0.0017	-0.0025,0.0012,0.0013	0.0481	0.0009,-0.0033,0.0024	0.0103	-0.0014,-0.0016,0.003	-0.0606	0.0078,-0.0145,0.0067	NA	NA	Virus lost	729	Haploid
Evolved in .07% glu	clone15	-0.0129	0.0044,0.0051,-0.0095	-0.0462	-0.002,0.0074,-0.0054	NA	NA	NA	NA	-0.0403	-0.0005,-0.0036,0.0041	NA	NA	0.0037	-0.0034,0.0025,0.0009	-0.008	-0.0029,0.0095,-0.0066	NA	NA	NA	NA	-0.027	-0.0022,0.0041,-0.0019	0.0351	-0.0013,-0.0012,0.0024	0.0257	0.0019,0.0001,-0.002	0.0166	0.0049,-0.0009,-0.0039	NA	NA	Virus retained	729	Haploid
Evolved in .07% glu	clone16	-0.1154	-0.0036,0.009,-0.0054	-0.1063	0.0127,-0.0038,-0.0089	NA	NA	NA	NA	-0.1875	0.0103,0.0353,-0.0456	NA	NA	0.0225	-0.0014,0.0039,-0.0025	0.0164	0.0049,-0.0045,-0.0004	NA	NA	NA	NA	0.0168	-0.0001,0.0048,-0.0047	0.0368	0.0004,0.0007,-0.0012	-0.0237	-0.0039,-0.0007,0.0046	-0.1455	-0.0032,0.0021,0.0011	NA	NA	Virus lost	729	Haploid
Evolved in .07% glu	clone17	0.0116	0.0016,-0.0006,-0.001	-0.0689	0.0013,-0.0046,0.0033	NA	NA	NA	NA	0.0208	-0.0025,0.0034,-0.0009	NA	NA	-0.0218	-0.0052,0.0097,-0.0045	0.0059	0.0049,0.0022,-0.007	NA	NA	NA	NA	0.0356	-0.0021,0.0059,-0.0038	0.0342	0.0037,-0.0076,0.0039	0.0069	-0.0015,0.0048,-0.0033	0.0251	0.0012,0.0032,-0.0044	NA	NA	Virus retained	729	Undetermined
Evolved in .07% glu	clone18	0.0126	0.0018,0.0016,-0.0034	-0.0456	-0.0092,0.0003,0.0089	NA	NA	NA	NA	0.0158	0.0013,-0.0007,-0.0006	NA	NA	-0.0398	-0.0125,0.0157,-0.0032	0.0099	0.0155,-0.0039,-0.0116	NA	NA	NA	NA	-0.0455	-0.005,0.0005,0.0046	0.0479	-0.0033,-0.0026,0.0059	0.0249	0.0037,0.0003,-0.0041	0.019	0.0053,-0.0021,-0.0032	NA	NA	Virus retained	729	Haploid
Evolved in .07% glu	clone19	-0.1114	-0.0075,0.0124,-0.0048	-0.0809	-0.0055,0.0112,-0.0057	NA	NA	NA	NA	-0.165	0.0119,0.0158,-0.0277	NA	NA	-0.0238	-0.0148,0.0188,-0.004	0.0244	-0.0006,-0.0016,0.0022	NA	NA	NA	NA	0.0147	-0.0014,0.0004,0.001	0.0304	-0.0021,0.0005,0.0016	-0.0316	-0.0036,-0.0049,0.0085	-0.133	-0.0045,-0.01,0.0144	NA	NA	Virus lost	729	Haploid
Evolved in .07% glu	clone20	0.0024	0.0002,-0.0027,0.0025	-0.0551	0.0018,-0.0056,0.0038	NA	NA	NA	NA	0.0019	0.001,-0.002,0.001	NA	NA	0.006	-0.0054,0.0063,-0.0009	0.0371	0.0072,-0.0046,-0.0026	NA	NA	NA	NA	-0.0181	-0.0015,-0.0005,0.0021	0.042	-0.0012,-0.0008,0.002	0.0141	0.0013,-0.0008,-0.0006	0.0144	0.0001,-0.0034,0.0032	NA	NA	Virus retained	729	Haploid
Evolved in 21 C	clone1	-0.0076	0.0093,0.0054,-0.0148	-0.005	-0.0025,0.0044,-0.002	NA	NA	NA	NA	0.0288	-0.0027,-0.0011,0.0038	-0.027	-0.005,0.0017,0.0033	0.018	0.0032,0.0005,-0.0037	0.0333	-0.0032,-0.0126,0.0159	NA	NA	NA	NA	-0.0196	0.0024,-0.0019,-0.0005	0.011	-0.0048,-0.0066,0.0114	NA	NA	0.0529	0.0054,0.0014,-0.0068	NA	NA	Virus retained	612	Diploid
Evolved in 21 C	clone2	0.0002	0.0058,0.0116,-0.0174	-0.0059	0.0007,0.0095,-0.0102	NA	NA	NA	NA	0.037	-0.0035,-0.0073,0.0108	-0.0267	0.0011,-0.0016,0.0005	0.0319	0.0027,-0.0054,0.0027	0.0342	-0.0077,-0.0071,0.0148	NA	NA	NA	NA	-0.0021	-0.0069,0.0039,0.0029	0.0142	-0.0041,-0.0036,0.0077	NA	NA	0.0533	0.0048,-0.0029,-0.0019	NA	NA	Virus retained	612	Diploid
Evolved in 21 C	clone3	0.0077	0.0093,0.0107,-0.02	-0.0069	-0.0009,0.0048,-0.0039	NA	NA	NA	NA	0.0425	-0.0049,-0.0038,0.0087	-0.0161	0.0006,0.0001,-0.0007	0.0251	-0.0016,-0.0007,0.0023	0.0273	-0.0049,-0.0079,0.0128	NA	NA	NA	NA	0.013	0.0025,-0.0049,0.0024	0.0107	-0.0034,-0.0092,0.0126	NA	NA	0.0558	0.0079,-0.0034,-0.0044	NA	NA	Virus retained	612	Diploid
Evolved in 21 C	clone4	0.0082	-0.0,0.0027,-0.0027	0.0396	-0.0037,-0.0013,0.005	NA	NA	NA	NA	0.0221	-0.001,-0.0071,0.0081	-0.0143	-0.0039,0.0023,0.0016	-0.0727	-0.0003,-0.0067,0.007	-0.1624	0.0219,-0.0422,0.0203	NA	NA	NA	NA	-0.0385	0.0003,-0.0061,0.0058	-0.0557	-0.003,-0.0046,0.0076	NA	NA	0.0069	0.0027,-0.002,-0.0007	NA	NA	Virus retained	612	Haploid
Evolved in 21 C	clone5	0.0167	0.0076,0.0136,-0.0212	0.0002	-0.0018,0.0069,-0.0051	NA	NA	NA	NA	0.0511	-0.0055,-0.0075,0.0131	-0.0202	0.0019,-0.0014,-0.0005	0.0552	0.013,-0.0155,0.0024	0.0329	-0.007,-0.0084,0.0154	NA	NA	NA	NA	0.0037	0.0027,-0.0072,0.0045	0.0209	-0.0069,-0.0059,0.0128	NA	NA	0.0623	0.0065,-0.0026,-0.0039	NA	NA	Virus retained	612	Diploid
Evolved in 21 C	clone6	0.0101	0.0096,0.0101,-0.0197	-0.0243	-0.0007,0.0032,-0.0024	NA	NA	NA	NA	0.0615	-0.0042,-0.0107,0.0149	-0.0194	0.0007,0.0004,-0.0011	0.0296	0.0013,0.0038,-0.0051	-0.0116	-0.0081,-0.0019,0.01	NA	NA	NA	NA	0.0555	-0.0036,0.002,0.0016	0.0159	-0.0049,-0.0048,0.0096	NA	NA	0.0618	0.008,-0.005,-0.003	NA	NA	Virus retained	612	Diploid
Evolved in 21 C	clone7	0.0182	-0.0021,0.0024,-0.0002	0.0418	0.001,0.0032,-0.0042	NA	NA	NA	NA	0.0339	-0.0014,0.0006,0.0008	0.0115	0.0011,-0.0013,0.0002	0.0112	-0.0026,0.0004,0.0022	0.0186	0.0023,-0.001,-0.0013	NA	NA	NA	NA	0.0056	-0.0025,0.0024,0.0001	0.0081	0.002,-0.0038,0.0019	NA	NA	0.0081	0.0027,0.0006,-0.0034	NA	NA	Virus retained	612	Haploid
Evolved in 21 C	clone8	0.0421	0.0052,0.0047,-0.0099	0.0456	-0.0036,0.013,-0.0093	NA	NA	NA	NA	-0.1912	0.0823,-0.0601,-0.0222	0.0358	-0.0041,0.0009,0.0032	0.0674	-0.0027,0.0017,0.001	0.1051	0.0071,-0.0078,0.0007	NA	NA	NA	NA	0.037	-0.0057,0.0003,0.0054	0.0345	-0.0056,-0.0037,0.0093	NA	NA	0.0338	0.0123,-0.0108,-0.0015	NA	NA	Virus lost	612	Diploid
Evolved in 21 C	clone9	0.0006	0.0002,0.0019,-0.0021	-0.0256	-0.0016,0.0033,-0.0018	NA	NA	NA	NA	0.014	-0.0055,-0.0003,0.0058	-0.0017	-0.0002,-0.0016,0.0017	-0.0025	0.0003,0.0018,-0.0021	0.0173	0.0022,0.0,-0.0022	NA	NA	NA	NA	0.0067	-0.0034,0.0014,0.002	0.0009	0.0035,-0.0017,-0.0018	NA	NA	0.0024	0.0068,-0.0045,-0.0023	NA	NA	Virus retained	612	Haploid
Evolved in 21 C	clone10	-0.037	-0.0062,0.0153,-0.0091	-0.0663	-0.0453,0.0182,0.0272	NA	NA	NA	NA	-0.0908	0.0381,-0.0642,0.0261	-0.0129	0.0032,0.003,-0.0062	0.0553	0.0047,-0.0002,-0.0045	0.0362	-0.0021,0.0006,0.0015	NA	NA	NA	NA	0.0158	-0.0066,0.0034,0.0032	0.0173	-0.0021,-0.004,0.0061	NA	NA	-0.0005	0.0023,-0.0243,0.0221	NA	NA	Virus lost	612	Diploid
Evolved in 21 C	clone11	0.0065	-0.0038,0.0026,0.0012	-0.0137	-0.007,0.004,0.0029	NA	NA	NA	NA	0.0037	-0.0013,-0.0036,0.0049	0.0028	0.0018,-0.0002,-0.0016	0.0067	0.0028,-0.0012,-0.0016	0.0113	0.0021,0.0034,-0.0056	NA	NA	NA	NA	0.0042	-0.0045,-0.0002,0.0047	0.0044	0.0013,0.0003,-0.0017	NA	NA	0.0055	0.0009,-0.0018,0.0009	NA	NA	Virus retained	612	Haploid
Evolved in 21 C	clone12	-0.0031	-0.0047,0.0043,0.0004	0.0287	0.0033,-0.0034,0.0001	NA	NA	NA	NA	0.0284	0.0036,-0.0003,-0.0033	0.0045	0.001,0.0026,-0.0037	0.0055	-0.0031,0.0003,0.0028	-0.0863	0.005,-0.0014,-0.0036	NA	NA	NA	NA	0.0446	-0.004,0.0048,-0.0008	0.0066	-0.0002,0.0023,-0.0021	NA	NA	-0.0061	-0.0006,0.0014,-0.0008	NA	NA	Virus retained	612	Haploid
Evolved in 21 C	clone13	0.0238	-0.0032,0.0038,-0.0006	0.0415	0.0002,0.0018,-0.002	NA	NA	NA	NA	0.0379	-0.0013,-0.0014,0.0027	0.0151	-0.0025,0.0043,-0.0018	0.0173	-0.0048,0.0001,0.0047	0.0028	-0.0048,-0.0013,0.0061	NA	NA	NA	NA	0.0132	-0.0026,-0.001,0.0036	0.0133	-0.0011,0.0025,-0.0014	NA	NA	0.0141	-0.0014,0.0002,0.0011	NA	NA	Virus retained	612	Haploid
Evolved in 21 C	clone14	0.0203	0.0013,-0.0008,-0.0005	0.0561	-0.0057,0.0061,-0.0004	NA	NA	NA	NA	0.0353	-0.0007,0.0031,-0.0025	0.0171	-0.0003,0.0017,-0.0015	0.0235	0.0002,-0.0064,0.0062	0.0096	0.0057,0.0003,-0.006	NA	NA	NA	NA	0.0174	0.0014,-0.0002,-0.0012	0.0137	-0.0051,0.0022,0.003	NA	NA	0.0127	0.0031,-0.0006,-0.0025	NA	NA	Virus retained	612	Haploid
Evolved in 21 C	clone16	0.0058	0.0121,0.0055,-0.0176	-0.0133	-0.0037,0.0077,-0.004	NA	NA	NA	NA	0.0411	-0.0114,-0.0003,0.0118	-0.0238	0.0015,0.0006,-0.0021	0.0334	0.0062,0.0001,-0.0063	0.0251	-0.0043,-0.0117,0.016	NA	NA	NA	NA	0.0023	0.0036,-0.0062,0.0026	0.0152	-0.0054,-0.0034,0.0088	NA	NA	0.0583	0.006,-0.0052,-0.0008	NA	NA	Virus retained	612	Diploid
Evolved in 21 C	clone17	0.0049	-0.0005,0.0061,-0.0056	0.0005	-0.0122,0.0129,-0.0007	NA	NA	NA	NA	0.018	-0.0039,-0.0012,0.0052	0.0066	0.0004,0.0027,-0.0031	0.0044	-0.0028,0.0009,0.0019	0.001	-0.004,0.0032,0.0008	NA	NA	NA	NA	0.0342	-0.0018,0.0006,0.0012	0.0033	-0.0018,-0.0002,0.002	NA	NA	0.0011	-0.0004,-0.0014,0.0019	NA	NA	Virus retained	612	Haploid
Evolved in 21 C	clone18	0.0047	0.007,0.0085,-0.0155	0.0063	-0.0005,0.0126,-0.0121	NA	NA	NA	NA	0.0437	-0.0032,-0.0061,0.0093	-0.0274	0.0008,-0.0028,0.0019	0.035	0.0049,0.0054,-0.0103	0.0399	-0.0017,-0.0025,0.0042	NA	NA	NA	NA	-0.0022	-0.0069,-0.0032,0.01	0.0122	-0.002,-0.0046,0.0066	NA	NA	0.0523	0.0078,0.0004,-0.0082	NA	NA	Virus retained	612	Diploid
